groupID,ID,sex
1,154,F
1,155,F
1,146,F
1,166,F
1,157,M
1,145,F
2,132,F
2,123,M
2,111,F
3,109,F
3,165,M
3,108,F
4,236,M
5,138,M
5,125,F
5,143,F
5,140,F
5,121,F
6,124,M
6,114,M
6,113,F
7,189,F
7,186,F
7,127,F
7,188,F
7,110,M
8,174,F
8,175,F
8,176,M
8,177,F
8,178,M
8,182,F
8,183,F
8,184,F
8,187,F
9,193,M
9,159,F
9,156,M
9,151,F
9,158,F
9,149,F
9,144,F
10,129,F
10,161,F
10,141,F
10,120,M
11,185,M
11,181,F
11,173,F
12,164,M
12,163,F
12,162,F
13,169,M
13,172,F
13,168,F
14,150,F
14,142,M
14,119,F
15,180,F
15,179,F
15,170,F
16,122,F
16,107,M
16,128,M
16,104,M
17,171,F
17,167,F
17,152,M
18,135,F
18,117,F
18,131,F
18,103,M
19,102,M
19,112,F
19,101,F
